GEOID20,District
3703900HOTH,1
3703900MARB,1
3703900MURN,1
3703900MURS,1
3703900RGER,1
3703900CSON,1
3703900HIWA,1
3703900HANG,1
3703900ANNW,1
3703900ANSW,1
3703900GCRK,1
3703900BRAS,1
3703900UNKA,1
3703900BELL,1
3703900PCHT,1
3703900TOPT,1
3707500STEC,1
3707500WEST,1
3707500EAST,1
3707500TAPO,1
3704300HAY2,1
3704300TUSQ,1
3704300WARN,1
3704300HIAW,1
3704300SHCR,1
3704300SWEE,1
3704300HAY1,1
3704300HAYC,1
3704300BRAS,1
37113000003,1
37113000007,1
37113000002,1
37113000014,1
37113000010,1
37113000012,1
37113000013,1
37113000005,1
37113000009,1
37113000006,1
37113000001,1
37113000011,1
37113000015,1
37113000004,1
37113000008,1
37173ALMOND,1
37173000BC1,1
37173000BC2,1
3717300WHCH,1
37173ALARKA,1
37099000SDC,1
37099000QUA,1
37099000GCK,1
37099000CUL,1
37099000SAV,1
37099000SCC,1
37099000BCK,1
37099000GLV,1
37099000CAS,1
37099000WEB,1
37099000RIV,1
37099000CFK,1
37099000CAN,1
370870000IH,1
370870000EF,1
3708700WS-2,1
370870000AC,1
3708700CL-S,1
370870000BC,1
3708700WS-1,1
370870000CR,1
3708700FC-2,1
3708700000P,1
3708700CL-N,1
3708700BE-1,1
3708700BE-3,1
3708700FC-1,1
3708700BE56,1
370870000WW,1
370870000JC,1
3708700BE-7,1
370870000PC,1
370870000HA,1
370870000ID,1
370870000LJ,1
370870000WE,1
3708700BE-2,1
370870000SA,1
370870000CE,1
370870000WC,1
3708700BE-4,1
370870000WO,1
371750000CM,3
371750000BD,3
371750000WC,3
371750000PF,3
371750000B4,3
371750000RE,3
371750000LR,3
371750000DR,3
371750000B1,3
371750000CC,3
371750000EF,3
371750000B3,3
371750000B2,3
37175000TC7,3
37175000TC1,3
370890000SW,3
370890000RG,3
370890000SE,3
370890000GR,3
370890000HS,3
3708900HV-1,3
370890000EF,3
370890000BK,3
370890000AT,3
370890000EV,3
370890000FR,3
370890000SM,3
3708900HV-2,3
370890000RR,3
370890000FL,3
370890000LJ,3
370890000CC,3
370890000NW,3
370890000SB,3
370890000ED,3
370890000LP,3
3708900HV-3,3
370890000CB,3
370890000MG,3
370890000AR,3
370890000HC,3
370890000NM,3
370890000NB,3
370890000ES,3
370890000PR,3
370890000GM,3
370890000BC,3
370890000PV,3
370890000NE,3
370210001.1,2
370210053.1,1
370210068.1,2
370210022.2,2
370210058.1,2
370210059.1,2
370210066.1,2
370210044.1,3
370210048.1,3
370210038.3,2
370210036.1,2
370210060.2,2
370210002.1,2
370210011.1,2
370210045.1,2
370210039.2,2
370210003.1,2
370210054.2,3
370210052.1,2
370210047.1,3
370210025.1,2
370210008.3,2
370210034.1,2
370210023.3,2
370210014.3,2
370210067.1,2
370210012.1,2
370210042.1,2
370210033.3,2
370210064.1,2
370210024.1,3
370210009.1,2
370210057.1,2
370210031.1,2
370210055.1,3
370210018.2,3
370210013.1,2
370210030.3,3
370210071.1,2
370210033.2,2
370210005.1,2
370210049.1,3
370210006.1,2
370210040.2,2
370210041.1,2
370210016.2,2
370210027.2,2
370210004.1,2
370210028.1,2
370210038.2,2
370210014.2,2
370210065.1,2
370210030.2,3
