GEOID20,District
080310013021000,1
080310013021001,1
080310013021002,1
080310013021003,1
080310013021006,1
080310013021007,1
080310013021008,1
080310013021009,1
080310013021010,1
080310013021013,1
080310013021014,1
080310013021015,1
080310013021016,1
080310013021017,1
080310013021018,1
080310013021019,1
080310013021020,1
080310013021023,1
080310013021024,1
080310013021025,1
080310013021026,1
080310013021027,1
080310013021028,1
080310013021029,1
080310013021030,1
080310013021031,1
080310013022000,1
080310013022001,1
080310013022002,1
080310013022003,1
080310013022004,1
080310013022005,1
080310013022006,1
080310013022007,1
080310013022008,1
080310013022009,1
080310013022010,1
080310013022011,1
080310013022012,1
080310013022013,1
080310013022014,1
080310013022017,1
080310013022018,1
080310013022019,1
080310013022020,1
080310013023000,1
080310013023001,1
080310013023002,1
080310013023003,1
080310013023004,1
080310013023005,1
080310013023010,1
080310013023011,1
080310013023012,1
080310013023013,1
080310013023014,1
080310013023015,1
080310013023016,1
080310013023017,1
080310013023018,1
080310013023019,1
080310009022000,1
080310009022001,1
080310009022002,1
080310009022003,1
080310009022004,1
080310009022005,1
080310009022006,1
080310009022007,1
080310009022008,1
080310009022009,1
080310009022010,1
080310009022011,1
080310009022012,1
080310009022013,1
080310009022014,1
080310009022015,1
080310009022016,1
080310009022017,1
080310009023000,1
080310009023001,1
080310009023002,1
080310009023003,1
080310009023004,1
080310009023005,1
080310009023006,1
080310009023007,1
080310009023008,1
080310009023009,1
080310009023010,1
080310009023011,1
080310009023012,1
080310009023013,1
080310009023014,1
080310009023015,1
080310009023016,1
080310009023017,1
080310009024008,1
080310009024009,1
080310009024010,1
080310009024011,1
080310009024012,1
080310009024013,1
080310009024014,1
080310009024015,1
080310009024016,1
080310009024017,1
080310009024018,1
080310009024019,1
080310009024020,1
080310009024021,1
080310009024022,1
080310009024023,1
080310009024024,1
080310014011000,1
080310014011001,1
080310014011002,1
080310014011003,1
080310014011004,1
080310014011005,1
080310014011006,1
080310014011007,1
080310014011008,1
080310014011009,1
080310014011011,1
080310014011012,1
080310014011013,1
080310014011014,1
080310014011020,1
080310014011021,1
080310014011022,1
080310014011023,1
080310014011024,1
080310014011025,1
080310014011026,1
080310014012000,1
080310014012001,1
080310014012002,1
080310014012003,1
080310014012004,1
080310014012005,1
080310014012006,1
080310014012007,1
